text,introduction,education,skills,experience,career_goals
I am Gurpreet from Hyderabad I am studying BTech in Computer Science My goal is to contribute to AI research you know,1,1,0,0,1
Hi I am Neha I am pursuing Electrical Engineering I did internship at TCS,1,1,0,1,0
My name is Gurpreet from Mumbai I am pursuing BSc IT I want to build scalable systems,1,1,0,0,1
Myself Sai Teja I am studying BSc IT I know Python you know,1,1,1,0,0
Hi I am Siddharth I completed Mechanical Engineering I worked with Deep Learning I did internship at HCL basically,1,1,1,1,0
I am Sreshth from Bangalore I am pursuing BTech in Computer Science I worked with Deep Learning I did internship at Infosys you know,1,1,1,1,0
I have skills in Machine Learning,0,0,1,0,0
uh I completed BSc IT I know Deep Learning I did internship at TCS,0,1,1,1,0
I know AI I did internship at HCL I want to work in a top company basically,0,0,1,1,1
myself yashraj i am studying bsc it i have skills in deep learning i worked at wipro,1,1,1,1,0
I worked with Python I worked at HCL basically,0,0,1,1,0
i am pursuing bca i did internship at hcl,0,1,0,1,0
Myself Vivaan I am pursuing BCA I worked with Data Structures I worked at Google India My goal is to build scalable systems you know,1,1,1,1,1
I completed Electrical Engineering,0,1,0,0,0
I am studying BSc IT I have skills in Machine Learning I worked at HCL basically,0,1,1,1,0
I'm pursuing BSc IT I worked with Machine Learning I did internship at Infosys,0,1,1,1,0
Hi I am Myra I did internship at Infosys I want to contribute to AI research,1,0,0,1,1
my name is bhargav from chennai i am pursuing mechanical engineering i have skills in ai i worked at infosys my goal is to contribute to ai research,1,1,1,1,1
Hi I am Venkatesh I am pursuing BSc IT,1,1,0,0,0
I'm studying Mechanical Engineering I did internship at Infosys,0,1,0,1,0
my goal is to become an ai engineer,0,0,0,0,1
I worked at Infosys,0,0,0,1,0
My name is Subramanian from Hyderabad I completed Electrical Engineering,1,1,0,0,0
i am ayesha from bangalore i am studying electrical engineering i know ai i worked at google india,1,1,1,1,0
Hi I am Akash I did internship at TCS,1,0,0,1,0
My name is Aadhya from Mumbai I am studying BSc IT I want to contribute to AI research you know,1,1,0,0,1
My name is Aarav from Lucknow I completed Mechanical Engineering you know,1,1,0,0,0
Myself Ananya I am pursuing BSc IT I have skills in AI I did internship at HCL,1,1,1,1,0
My name is Shivansh from Lucknow I worked with Python I did internship at Infosys,1,0,1,1,0
I am studying BSc IT I worked with Data Structures I did internship at Wipro,0,1,1,1,0
My name is Siddharth from Mumbai I am studying BCA I have skills in Deep Learning you know,1,1,1,0,0
I'm studying Mechanical Engineering I know Python My goal is to contribute to AI research,0,1,1,0,1
