text,name_present,degree_present,college_present,skills_present,experience_present,career_goal_present
I am studying BCA in IIT Delhi,0,1,1,0,0,0
I am studying MCA I know Machine Learning My goal is to be developer,0,1,0,1,0,1
My name is Ishaan I know Web Development My goal is to be developer,1,0,0,1,0,1
I am doing BTech in CSE,0,1,0,0,0,0
My name is Ananya I am studying MCA I know Python My goal is to become AI engineer,1,1,0,1,0,1
I know Machine Learning My goal is to work in tech,0,0,0,1,0,1
in Delhi University I know Machine Learning My goal is to be developer,0,0,1,1,0,1
My name is Tanmay I am studying BTech I know Web Development I worked at Startup My goal is to work in tech,1,1,0,1,1,1
My name is Chaitanya I know Machine Learning,1,0,0,1,0,0
My name is Deepak I worked at TCS,1,0,0,0,1,0
My name is Raghavendra in Delhi University I know Machine Learning My goal is to be developer,1,0,1,1,0,1
,0,0,0,0,0,0
My name is Ishaan I am studying BTech I know Web Development My goal is to become AI engineer,1,1,0,1,0,1
hello everyone,0,0,0,0,0,0
My name is Somanshu I know Machine Learning My goal is to become AI engineer,1,0,0,1,0,1
I am studying MCA I worked at Infosys My goal is to become AI engineer,0,1,0,0,1,1
My name is Ayesha in Chandigarh University I worked at Startup My goal is to be developer,1,0,1,0,1,1
My name is Aarav I am studying Mechanical Engineering My goal is to work in tech,1,1,0,0,0,1
My name is Siddharth I am studying Mechanical Engineering in IIT Delhi I know Python My goal is to work in tech,1,1,1,1,0,1
myself studying computer science,0,1,0,0,0,0
I am studying BTech in IIT Delhi I know Web Development I worked at TCS My goal is to work in tech,0,1,1,1,1,1
My name is Zoya I am studying Mechanical Engineering My goal is to become AI engineer,1,1,0,0,0,1
My name is Rudra I am studying MCA,1,1,0,0,0,0
My name is Pooja My goal is to be developer,1,0,0,0,0,1
I am studying BTech I know Python I worked at Startup,0,1,0,1,1,0
My name is Tanmay I am studying MCA I know Machine Learning,1,1,0,1,0,0
in IIT Delhi My goal is to work in tech,0,0,1,0,0,1
I am studying MCA in Delhi University I worked at Infosys,0,1,1,0,1,0
My name is Manikanta I am studying BCA I know Python I worked at Infosys,1,1,0,1,1,0
My name is Lalita I am studying BCA in IIT Delhi I know Python I worked at Startup,1,1,1,1,1,0
My name is tripathi I am studying Mechanical Engineering I know Machine Learning I worked at TCS,1,1,0,1,1,0
My name is Chaitanya I am studying Mechanical Engineering in IIT Delhi I know Machine Learning,1,1,1,1,0,0
My name is Lalita I am studying BTech in IIT Delhi,1,1,1,0,0,0
My name is Rohit I am studying BTech in Delhi University I know Machine Learning I worked at Infosys My goal is to work in tech,1,1,1,1,1,1
I am studying BCA in Delhi University I know Machine Learning I worked at TCS My goal is to work in tech,0,1,1,1,1,1
My name is Rehan I am studying Mechanical Engineering,1,1,0,0,0,0
My name is Priyanshu I worked at Infosys My goal is to work in tech,1,0,0,0,1,1
